name,year,number,price,own,lot_name,remaining_price,url,front_url,back_url
Duke Snider,1959,20,12.5,,,12.5,/ViewCard.cfm/sid/43/cid/7975/1959-Topps-20-Duke-Snider,/Images/Cards/Baseball/43/43-20Fr.jpg,/Images/Cards/Baseball/43/43-20Bk.jpg
Yogi Berra,1959,180,25,,,25,/ViewCard.cfm/sid/43/cid/8137/1959-Topps-180-Yogi-Berra,/Images/Cards/Baseball/43/43-180Fr.jpg,/Images/Cards/Baseball/43/43-180Bk.jpg
Early Wynn,1959,260,4,,,4,/ViewCard.cfm/sid/43/cid/8217/1959-Topps-260-Early-Wynn,/Images/Cards/Baseball/43/43-260Fr.jpg,/Images/Cards/Baseball/43/43-260Bk.jpg
Luis Aparicio,1959,310,6.38,,,6.38,/ViewCard.cfm/sid/43/cid/8267/1959-Topps-310-Luis-Aparicio,/Images/Cards/Baseball/43/43-310Fr.jpg,/Images/Cards/Baseball/43/43-310Bk.jpg
Hoyt Wilhelm,1959,349,2.99,,,2.99,/ViewCard.cfm/sid/43/cid/8310/1959-Topps-349-Hoyt-Wilhelm,/Images/Cards/Baseball/43/43-349Fr.jpg,/Images/Cards/Baseball/43/43-349Bk.jpg
Robin Roberts,1959,352,8,,,8,/ViewCard.cfm/sid/43/cid/8313/1959-Topps-352-Robin-Roberts,/Images/Cards/Baseball/43/43-352Fr.jpg,/Images/Cards/Baseball/43/43-352Bk.jpg
Don Drysdale,1959,387,22.6,,,22.6,/ViewCard.cfm/sid/43/cid/8349/1959-Topps-387-Don-Drysdale,/Images/Cards/Baseball/43/43-387Fr.jpg,/Images/Cards/Baseball/43/43-387Bk.jpg
Whitey Ford,1959,430,36,,,36,/ViewCard.cfm/sid/43/cid/8394/1959-Topps-430-Whitey-Ford,/Images/Cards/Baseball/43/43-430Fr.jpg,/Images/Cards/Baseball/43/43-430Bk.jpg
Eddie Mathews,1959,450,18,,,18,/ViewCard.cfm/sid/43/cid/8414/1959-Topps-450-Ed-Mathews,/Images/Cards/Baseball/43/43-450Fr.jpg,/Images/Cards/Baseball/43/43-450Bk.jpg
Harmon Killebrew,1959,515,16,,,16,/ViewCard.cfm/sid/43/cid/8479/1959-Topps-515-Harmon-Killebrew,/Images/Cards/Baseball/43/43-515Fr.jpg,/Images/Cards/Baseball/43/43-515Bk.jpg
Early Wynn,1960,1,7,,,7,/ViewCard.cfm/sid/47/cid/27601/1960-Topps-1-Early-Wynn,/Images/Cards/Baseball/47/47-1Fr.jpg,/Images/Cards/Baseball/47/47-1Bk.jpg
Whitey Ford,1960,35,20,,,20,/ViewCard.cfm/sid/47/cid/27635/1960-Topps-35-Whitey-Ford,/Images/Cards/Baseball/47/47-35Fr.jpg,/Images/Cards/Baseball/47/47-35Bk.jpg
Harmon Killebrew,1960,210,21,,,21,/ViewCard.cfm/sid/47/cid/27810/1960-Topps-210-Harmon-Killebrew,/Images/Cards/Baseball/47/47-210Fr.jpg,/Images/Cards/Baseball/47/47-210Bk.jpg
Luis Aparicio,1960,240,6,,,6,/ViewCard.cfm/sid/47/cid/27840/1960-Topps-240-Luis-Aparicio,/Images/Cards/Baseball/47/47-240Fr.jpg,/Images/Cards/Baseball/47/47-240Bk.jpg
Robin Roberts,1960,264,6,,,6,/ViewCard.cfm/sid/47/cid/27864/1960-Topps-264-Robin-Roberts,/Images/Cards/Baseball/47/47-264Fr.jpg,/Images/Cards/Baseball/47/47-264Bk.jpg
Hoyt Wilhelm,1960,395,6,,,6,/ViewCard.cfm/sid/47/cid/27995/1960-Topps-395-Hoyt-Wilhelm,/Images/Cards/Baseball/47/47-395Fr.jpg,/Images/Cards/Baseball/47/47-395Bk.jpg
Eddie Mathews,1960,420,18,,,18,/ViewCard.cfm/sid/47/cid/28020/1960-Topps-420-Ed-Mathews,/Images/Cards/Baseball/47/47-420Fr.jpg,/Images/Cards/Baseball/47/47-420Bk.jpg
Don Drysdale,1960,475,15,,,15,/ViewCard.cfm/sid/47/cid/28075/1960-Topps-475-Don-Drysdale,/Images/Cards/Baseball/47/47-475Fr.jpg,/Images/Cards/Baseball/47/47-475Bk.jpg
Yogi Berra,1960,480,40,,,40,/ViewCard.cfm/sid/47/cid/28080/1960-Topps-480-Yogi-Berra,/Images/Cards/Baseball/47/47-480Fr.jpg,/Images/Cards/Baseball/47/47-480Bk.jpg
Duke Snider,1960,493,20,,,20,/ViewCard.cfm/sid/47/cid/28093/1960-Topps-493-Duke-Snider,/Images/Cards/Baseball/47/47-493Fr.jpg,/Images/Cards/Baseball/47/47-493Bk.jpg
Eddie Mathews,1960,558,22,,,22,/ViewCard.cfm/sid/47/cid/28158/1960-Topps-558-Eddie-Mathews,/Images/Cards/Baseball/47/47-558Fr.jpg,/Images/Cards/Baseball/47/47-558Bk.jpg
Robin Roberts,1961,20,2.5,,,2.5,/ViewCard.cfm/sid/51/cid/9126/1961-Topps-20-Robin-Roberts,/Images/Cards/Baseball/51/51-20Fr.jpg,/Images/Cards/Baseball/51/51-20Bk.jpg
Harmon Killebrew,1961,80,9.9,,,9.9,/ViewCard.cfm/sid/51/cid/9186/1961-Topps-80-Harmon-Killebrew,/Images/Cards/Baseball/51/51-80Fr.jpg,/Images/Cards/Baseball/51/51-80Bk.jpg
Eddie Mathews,1961,120,12,,,12,/ViewCard.cfm/sid/51/cid/9228/1961-Topps-120-Ed-Mathews,/Images/Cards/Baseball/51/51-120Fr.jpg,/Images/Cards/Baseball/51/51-120Bk.jpg
Billy Williams,1961,141,32.5,,,32.5,/ViewCard.cfm/sid/51/cid/9249/1961-Topps-141-Billy-Williams,/Images/Cards/Baseball/51/51-141Fr.jpg,/Images/Cards/Baseball/51/51-141Bk.jpg
Whitey Ford,1961,160,20,,,20,/ViewCard.cfm/sid/51/cid/9268/1961-Topps-160-Whitey-Ford,/Images/Cards/Baseball/51/51-160Fr.jpg,/Images/Cards/Baseball/51/51-160Bk.jpg
Don Drysdale,1961,260,14,,,14,/ViewCard.cfm/sid/51/cid/9369/1961-Topps-260-Don-Drysdale,/Images/Cards/Baseball/51/51-260Fr.jpg,/Images/Cards/Baseball/51/51-260Bk.jpg
Juan Marichal,1961,417,45,,,45,/ViewCard.cfm/sid/51/cid/9528/1961-Topps-417-Juan-Marichal,/Images/Cards/Baseball/51/51-417Fr.jpg,/Images/Cards/Baseball/51/51-417Bk.jpg
Yogi Berra,1961,425,53,,,53,/ViewCard.cfm/sid/51/cid/9536/1961-Topps-425-Yogi-Berra,/Images/Cards/Baseball/51/51-425Fr.jpg,/Images/Cards/Baseball/51/51-425Bk.jpg
Luis Aparicio,1961,440,5.65,,,5.65,/ViewCard.cfm/sid/51/cid/9551/1961-Topps-440-Luis-Aparicio,/Images/Cards/Baseball/51/51-440Fr.jpg,/Images/Cards/Baseball/51/51-440Bk.jpg
Duke Snider,1961,443,11.86,,,11.86,/ViewCard.cfm/sid/51/cid/9554/1961-Topps-443-Duke-Snider,/Images/Cards/Baseball/51/51-443Fr.jpg,/Images/Cards/Baseball/51/51-443Bk.jpg
Early Wynn,1961,455,5,,,5,/ViewCard.cfm/sid/51/cid/9566/1961-Topps-455-Early-Wynn,/Images/Cards/Baseball/51/51-455Fr.jpg,/Images/Cards/Baseball/51/51-455Bk.jpg
Hoyt Wilhelm,1961,545,34,,,34,/ViewCard.cfm/sid/51/cid/9657/1961-Topps-545-Hoyt-Wilhelm,/Images/Cards/Baseball/51/51-545Fr.jpg,/Images/Cards/Baseball/51/51-545Bk.jpg
Eddie Mathews,1962,30,15,,,15,/ViewCard.cfm/sid/55/cid/28281/1962-Topps-30-Ed-Mathews,/Images/Cards/Baseball/55/55-30Fr.jpg,/Images/Cards/Baseball/55/55-28281RepBk.jpg
Harmon Killebrew,1962,70,12,,,12,/ViewCard.cfm/sid/55/cid/28321/1962-Topps-70-Harmon-Killebrew,/Images/Cards/Baseball/55/55-70Fr.jpg,/Images/Cards/Baseball/55/55-70Bk.jpg
Gaylord Perry,1962,199,71.65,,,71.65,/ViewCard.cfm/sid/55/cid/28460/1962-Topps-199-Gaylord-Perry,/Images/Cards/Baseball/55/55-199Fr.jpg,/Images/Cards/Baseball/55/55-199Bk.jpg
Robin Roberts,1962,243,9.25,,,9.25,/ViewCard.cfm/sid/55/cid/28504/1962-Topps-243-Robin-Roberts,/Images/Cards/Baseball/55/55-243Fr.jpg,/Images/Cards/Baseball/55/55-243Bk.jpg
Billy Williams,1962,288,16.25,,,16.25,/ViewCard.cfm/sid/55/cid/28549/1962-Topps-288-Billy-Williams,/Images/Cards/Baseball/55/55-288Fr.jpg,/Images/Cards/Baseball/55/55-288Bk.jpg
Whitey Ford,1962,310,20,,,20,/ViewCard.cfm/sid/55/cid/28571/1962-Topps-310-Whitey-Ford,/Images/Cards/Baseball/55/55-310Fr.jpg,/Images/Cards/Baseball/55/55-310Bk.jpg
Luis Aparicio,1962,325,9,,,9,/ViewCard.cfm/sid/55/cid/28586/1962-Topps-325-Luis-Aparicio,/Images/Cards/Baseball/55/55-325Fr.jpg,/Images/Cards/Baseball/55/55-325Bk.jpg
Don Drysdale,1962,340,21,,,21,/ViewCard.cfm/sid/55/cid/28601/1962-Topps-340-Don-Drysdale,/Images/Cards/Baseball/55/55-340Fr.jpg,/Images/Cards/Baseball/55/55-340Bk.jpg
Yogi Berra,1962,360,23,,,23,/ViewCard.cfm/sid/55/cid/28621/1962-Topps-360-Yogi-Berra,/Images/Cards/Baseball/55/55-360Fr.jpg,/Images/Cards/Baseball/55/55-360Bk.jpg
Early Wynn,1962,385,8,,,8,/ViewCard.cfm/sid/55/cid/28646/1962-Topps-385-Early-Wynn,/Images/Cards/Baseball/55/55-385Fr.jpg,/Images/Cards/Baseball/55/55-28646RepBk.jpg
Duke Snider,1962,500,40,,,40,/ViewCard.cfm/sid/55/cid/28763/1962-Topps-500-Duke-Snider,/Images/Cards/Baseball/55/55-500Fr.jpg,/Images/Cards/Baseball/55/55-500Bk.jpg
Juan Marichal,1962,505,12,,,12,/ViewCard.cfm/sid/55/cid/28768/1962-Topps-505-Juan-Marichal,/Images/Cards/Baseball/55/55-505Fr.jpg,/Images/Cards/Baseball/55/55-28768RepBk.jpg
Hoyt Wilhelm,1962,545,11,,,11,/ViewCard.cfm/sid/55/cid/28809/1962-Topps-545-Hoyt-Wilhelm,/Images/Cards/Baseball/55/55-545Fr.jpg,/Images/Cards/Baseball/55/55-28809RepBk.jpg
Hoyt Wilhelm,1963,108,5,,,5,/ViewCard.cfm/sid/60/cid/10421/1963-Topps-108-Hoyt-Wilhelm,/Images/Cards/Baseball/60/60-10421RepFr.jpg,/Images/Cards/Baseball/60/60-10421RepBk.jpg
Robin Roberts,1963,125,4,,,4,/ViewCard.cfm/sid/60/cid/10438/1963-Topps-125-Robin-Roberts,/Images/Cards/Baseball/60/60-10438RepFr.jpg,/Images/Cards/Baseball/60/60-10438RepBk.jpg
Gaylord Perry,1963,169,10,,,10,/ViewCard.cfm/sid/60/cid/10482/1963-Topps-169-Dick-Egan-/-Julio-Navarro-/-Gaylord-Perry-/-Tommy-Sisk,/Images/Cards/Baseball/60/60-169Fr.jpg,/Images/Cards/Baseball/60/60-169Bk.jpg
Luis Aparicio,1963,205,5,,,5,/ViewCard.cfm/sid/60/cid/10518/1963-Topps-205-Luis-Aparicio,/Images/Cards/Baseball/60/60-205Fr.jpg,/Images/Cards/Baseball/60/60-205Bk.jpg
Eddie Mathews,1963,275,15,,,15,/ViewCard.cfm/sid/60/cid/10588/1963-Topps-275-Ed-Mathews,/Images/Cards/Baseball/60/60-275Fr.jpg,/Images/Cards/Baseball/60/60-275Bk.jpg
