name,year,number,url,price,front_url,back_url
Ken Griffey Jr,1992,50,/ViewCard.cfm/sid/212/cid/95575/1992-Topps-50-Ken-Griffey-Jr.,0.7,/Images/Cards/Baseball/212/212-50Fr.jpg,/Images/Cards/Baseball/212/212-50Bk.jpg
Ken Griffey Jr,1993,179,"/ViewCard.cfm/sid/291/cid/107554/1993-Topps-179-Ken-Griffey,-Jr.",1.5,/Images/Cards/Baseball/291/291-179Fr.jpg,/Images/Cards/Baseball/291/291-179Bk.jpg
Ken Griffey Jr,1994,400,/ViewCard.cfm/sid/426/cid/123125/1994-Topps-400-Ken-Griffey-Jr.,0.49,/Images/Cards/Baseball/426/426-400Fr.jpg,/Images/Cards/Baseball/426/426-400Bk.jpg
Ken Griffey Jr,1995,397,/ViewCard.cfm/sid/594/cid/135587/1995-Topps-397-Ken-Griffey-Jr.,1.5,/Images/Cards/Baseball/594/594-397Fr.jpg,/Images/Cards/Baseball/594/594-397Bk.jpg
Ken Griffey Jr,1996,205,/ViewCard.cfm/sid/803/cid/148105/1996-Topps-205-Ken-Griffey-Jr.,1,/Images/Cards/Baseball/803/803-205Fr.jpg,/Images/Cards/Baseball/803/803-205Bk.jpg
Ken Griffey Jr,1997,300,/ViewCard.cfm/sid/1048/cid/164175/1997-Topps-300-Ken-Griffey-Jr.,0.6,/Images/Cards/Baseball/1048/1048-300Fr.jpg,/Images/Cards/Baseball/1048/1048-300Bk.jpg
Ken Griffey Jr,1998,321,/ViewCard.cfm/sid/1238/cid/178580/1998-Topps-321-Ken-Griffey-Jr.,0.75,/Images/Cards/Baseball/1238/1238-321Fr.jpg,/Images/Cards/Baseball/1238/1238-321Bk.jpg
Ken Griffey Jr,1999,100,/ViewCard.cfm/sid/1340/cid/234833/1999-Topps-100-Ken-Griffey-Jr.,0.57,/Images/Cards/Baseball/1340/1340-100Fr.jpg,/Images/Cards/Baseball/1340/1340-100Bk.jpg
Ken Griffey Jr,2000,400,/ViewCard.cfm/sid/1411/cid/251793/2000-Topps-400-Ken-Griffey-Jr.,1,/Images/Cards/Baseball/1411/1411-400Fr.jpg,/Images/Cards/Baseball/1411/1411-400Bk.jpg
Ken Griffey Jr,2001,593,/ViewCard.cfm/sid/1486/cid/280207/2001-Topps-593-Ken-Griffey-Jr.,0.43,/Images/Cards/Baseball/1486/1486-593Fr.jpg,/Images/Cards/Baseball/1486/1486-593Bk.jpg
Ken Griffey Jr,2002,550,/ViewCard.cfm/sid/1562/cid/303711/2002-Topps-550-Ken-Griffey-Jr.,0.55,/Images/Cards/Baseball/1562/1562-550Fr.jpg,/Images/Cards/Baseball/1562/1562-550Bk.jpg
Ken Griffey Jr,2003,390,/ViewCard.cfm/sid/1642/cid/32739/2003-Topps-390-Ken-Griffey-Jr.,0.65,/Images/Cards/Baseball/1642/1642-32739RepFr.jpg,/Images/Cards/Baseball/1642/1642-390Bk.jpg
Ken Griffey Jr,2004,510,/ViewCard.cfm/sid/1727/cid/210859/2004-Topps-510-Ken-Griffey-Jr.,0.65,/Images/Cards/Baseball/1727/1727-510Fr.jpg,/Images/Cards/Baseball/1727/1727-510Bk.jpg
Ken Griffey Jr,2005,440,/ViewCard.cfm/sid/1824/cid/211564/2005-Topps-440-Ken-Griffey-Jr.,0.49,/Images/Cards/Baseball/1824/1824-440Fr.jpg,/Images/Cards/Baseball/1824/1824-440Bk.jpg
Ken Griffey Jr,2006,387,/ViewCard.cfm/sid/1930/cid/207522/2006-Topps-387-Ken-Griffey-Jr.,0.5,/Images/Cards/Baseball/1930/1930-387Fr.jpg,/Images/Cards/Baseball/1930/1930-387Bk.jpg
Ken Griffey Jr,2007,450,/ViewCard.cfm/sid/1977/cid/193768/2007-Topps-450-Ken-Griffey-Jr.,0.55,/Images/Cards/Baseball/1977/1977-450Fr.jpg,/Images/Cards/Baseball/1977/1977-450Bk.jpg
Ken Griffey Jr,2008,580,/ViewCard.cfm/sid/6625/cid/57431/2008-Topps-580-Ken-Griffey-Jr.,1.5,/Images/Cards/Baseball/6625/6625-580Fr.jpg,/Images/Cards/Baseball/6625/6625-580Bk.jpg
Ken Griffey Jr,2009,30,/ViewCard.cfm/sid/9074/cid/259281/2009-Topps-30-Ken-Griffey-Jr.,0.87,/Images/Cards/Baseball/9074/9074-30aFr.jpg,/Images/Cards/Baseball/9074/9074-30aBk.jpg
Ken Griffey Jr,2010,85,/ViewCard.cfm/sid/9821/cid/417131/2010-Topps-85-Ken-Griffey-Jr.,0.99,/Images/Cards/Baseball/9821/9821-85aFr.jpg,/Images/Cards/Baseball/9821/9821-85aBk.jpg
Tom Seaver,1967,581,/ViewCard.cfm/sid/66/cid/14194/1967-Topps-581-Bill-Denehy-/-Tom-Seaver,600,/Images/Cards/Baseball/66/66-581Fr.jpg,/Images/Cards/Baseball/66/66-581Bk.jpg
Tom Seaver,1968,45,/ViewCard.cfm/sid/68/cid/29596/1968-Topps-45-Tom-Seaver,59.99,/Images/Cards/Baseball/68/68-45Fr.jpg,/Images/Cards/Baseball/68/68-45Bk.jpg
Tom Seaver,1969,480,/ViewCard.cfm/sid/69/cid/30702/1969-Topps-480-Tom-Seaver,13.2,/Images/Cards/Baseball/69/69-480Fr.jpg,/Images/Cards/Baseball/69/69-480Bk.jpg
Tom Seaver,1970,300,/ViewCard.cfm/sid/70/cid/15131/1970-Topps-300-Tom-Seaver,15,/Images/Cards/Baseball/70/70-300Fr.jpg,/Images/Cards/Baseball/70/70-300Bk.jpg
Tom Seaver,1971,160,/ViewCard.cfm/sid/71/cid/15716/1971-Topps-160-Tom-Seaver,12.49,/Images/Cards/Baseball/71/71-160Fr.jpg,/Images/Cards/Baseball/71/71-160Bk.jpg
Tom Seaver,1972,445,/ViewCard.cfm/sid/72/cid/16849/1972-Topps-445-Tom-Seaver,6,/Images/Cards/Baseball/72/72-445Fr.jpg,/Images/Cards/Baseball/72/72-445Bk.jpg
Tom Seaver,1973,350,/ViewCard.cfm/sid/73/cid/17560/1973-Topps-350-Tom-Seaver,11.99,/Images/Cards/Baseball/73/73-350Fr.jpg,/Images/Cards/Baseball/73/73-350Bk.jpg
Tom Seaver,1974,80,/ViewCard.cfm/sid/74/cid/30983/1974-Topps-80-Tom-Seaver,4,/Images/Cards/Baseball/74/74-80Fr.jpg,/Images/Cards/Baseball/74/74-80Bk.jpg
Tom Seaver,1975,370,/ViewCard.cfm/sid/76/cid/18868/1975-Topps-370-Tom-Seaver,7,/Images/Cards/Baseball/76/76-370Fr.jpg,/Images/Cards/Baseball/76/76-370Bk.jpg
Tom Seaver,1976,600,/ViewCard.cfm/sid/77/cid/19758/1976-Topps-600-Tom-Seaver,4,/Images/Cards/Baseball/77/77-600Fr.jpg,/Images/Cards/Baseball/77/77-600Bk.jpg
Tom Seaver,1977,150,/ViewCard.cfm/sid/79/cid/19968/1977-Topps-150-Tom-Seaver,4,/Images/Cards/Baseball/79/79-150Fr.jpg,/Images/Cards/Baseball/79/79-150Bk.jpg
Tom Seaver,1978,450,/ViewCard.cfm/sid/80/cid/20928/1978-Topps-450-Tom-Seaver,2.5,/Images/Cards/Baseball/80/80-20928RepFr.jpg,/Images/Cards/Baseball/80/80-20928RepBk.jpg
Tom Seaver,1979,100,/ViewCard.cfm/sid/81/cid/21350/1979-Topps-100-Tom-Seaver,2.3,/Images/Cards/Baseball/81/81-100Fr.jpg,/Images/Cards/Baseball/81/81-100Bk.jpg
Tom Seaver,1980,500,/ViewCard.cfm/sid/82/cid/32102/1980-Topps-500-Tom-Seaver,3,/Images/Cards/Baseball/82/82-500Fr.jpg,/Images/Cards/Baseball/82/82-500Bk.jpg
Tom Seaver,1981,220,/ViewCard.cfm/sid/85/cid/23510/1981-Topps-220-Tom-Seaver,1.37,/Images/Cards/Baseball/85/85-23510RepFr.jpg,/Images/Cards/Baseball/85/85-220Bk.jpg
Tom Seaver,1982,30,/ViewCard.cfm/sid/89/cid/24178/1982-Topps-30-Tom-Seaver,0.99,/Images/Cards/Baseball/89/89-24178RepFr.jpg,/Images/Cards/Baseball/89/89-24178RepBk.jpg
Tom Seaver,1983,580,/ViewCard.cfm/sid/93/cid/25655/1983-Topps-580-Tom-Seaver,0.95,/Images/Cards/Baseball/93/93-580Fr.jpg,/Images/Cards/Baseball/93/93-580Bk.jpg
Tom Seaver,1984,740,/ViewCard.cfm/sid/98/cid/33840/1984-Topps-740-Tom-Seaver,0.75,/Images/Cards/Baseball/98/98-740Fr.jpg,/Images/Cards/Baseball/98/98-740Bk.jpg
Tom Seaver,1985,670,/ViewCard.cfm/sid/103/cid/34770/1985-Topps-670-Tom-Seaver,0.85,/Images/Cards/Baseball/103/103-670Fr.jpg,/Images/Cards/Baseball/103/103-670Bk.jpg
Tom Seaver,1986,390,/ViewCard.cfm/sid/110/cid/13079/1986-Topps-390-Tom-Seaver,1.25,/Images/Cards/Baseball/110/110-13079RepFr.jpg,/Images/Cards/Baseball/110/110-13079RepBk.jpg
Tom Seaver,1987,425,/ViewCard.cfm/sid/117/cid/35677/1987-Topps-425-Tom-Seaver,0.55,/Images/Cards/Baseball/117/117-35677RepFr.jpg,/Images/Cards/Baseball/117/117-35677RepBk.jpg
Nolan Ryan,1968,177,/ViewCard.cfm/sid/68/cid/29731/1968-Topps-177-Jerry-Koosman-/-Nolan-Ryan,300,/Images/Cards/Baseball/68/68-29731RepFr.jpg,/Images/Cards/Baseball/68/68-29731RepBk.jpg
