name,player_url,card_url,collect
Mike Trout,https://www.tcdb.com/Person.cfm/pid/37543/col/Y/yea/2022/Mike-Trout?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009081/2022-Topps-27-Mike-Trout,1
Mike Trout,https://www.tcdb.com/Person.cfm/pid/37543/col/Y/yea/2022/Mike-Trout?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009082/2022-Topps-27-Mike-Trout,0
Mike Trout,https://www.tcdb.com/Person.cfm/pid/37543/col/Y/yea/2022/Mike-Trout?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009083/2022-Topps-27-Mike-Trout,0
Mike Trout,https://www.tcdb.com/Person.cfm/pid/37543/col/Y/yea/2022/Mike-Trout?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009250/2022-Topps-159-Los-Angeles-Angels,0
Albert Pujols,https://www.tcdb.com/Person.cfm/pid/4743/col/Y/yea/2022/Albert-Pujols?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009353/2022-Topps-237-Albert-Pujols,1
Albert Pujols,https://www.tcdb.com/Person.cfm/pid/4743/col/Y/yea/2022/Albert-Pujols?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009354/2022-Topps-237-Albert-Pujols,0
Miguel Cabrera,https://www.tcdb.com/Person.cfm/pid/868/col/Y/yea/2022/Miguel-Cabrera?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009293/2022-Topps-194-Miguel-Cabrera,1
Miguel Cabrera,https://www.tcdb.com/Person.cfm/pid/868/col/Y/yea/2022/Miguel-Cabrera?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009294/2022-Topps-194-Miguel-Cabrera,0
Miguel Cabrera,https://www.tcdb.com/Person.cfm/pid/868/col/Y/yea/2022/Miguel-Cabrera?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764509/2022-Topps-640-Detroit-Tigers,0
Justin Verlander,https://www.tcdb.com/Person.cfm/pid/6056/col/Y/yea/2022/Justin-Verlander?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764133/2022-Topps-350-Justin-Verlander,1
Justin Verlander,https://www.tcdb.com/Person.cfm/pid/6056/col/Y/yea/2022/Justin-Verlander?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18764134/2022-Topps-350b-Justin-Verlander,0
Max Scherzer,https://www.tcdb.com/Person.cfm/pid/17638/col/Y/yea/2022/Max-Scherzer?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009213/2022-Topps-127-NL-Strikeout-Leaders-(Zack-Wheeler-/-Max-Scherzer-/-Corbin-Burnes),0
Max Scherzer,https://www.tcdb.com/Person.cfm/pid/17638/col/Y/yea/2022/Max-Scherzer?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009309/2022-Topps-204-NL-ERA-Leaders-(Corbin-Burnes-/-Max-Scherzer-/-Walker-Buehler),0
Max Scherzer,https://www.tcdb.com/Person.cfm/pid/17638/col/Y/yea/2022/Max-Scherzer?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009448/2022-Topps-310-Max-Scherzer,1
Max Scherzer,https://www.tcdb.com/Person.cfm/pid/17638/col/Y/yea/2022/Max-Scherzer?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009449/2022-Topps-310-Max-Scherzer,0
Clayton Kershaw,https://www.tcdb.com/Person.cfm/pid/17430/col/Y/yea/2022/Clayton-Kershaw?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009101/2022-Topps-41-Clayton-Kershaw,1
Clayton Kershaw,https://www.tcdb.com/Person.cfm/pid/17430/col/Y/yea/2022/Clayton-Kershaw?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009102/2022-Topps-41-Clayton-Kershaw,0
Clayton Kershaw,https://www.tcdb.com/Person.cfm/pid/17430/col/Y/yea/2022/Clayton-Kershaw?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009103/2022-Topps-41-Clayton-Kershaw,0
Mookie Betts,https://www.tcdb.com/Person.cfm/pid/49319/col/Y/yea/2022/Mookie-Betts?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009116/2022-Topps-50-Mookie-Betts,1
Mookie Betts,https://www.tcdb.com/Person.cfm/pid/49319/col/Y/yea/2022/Mookie-Betts?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009117/2022-Topps-50-Mookie-Betts,0
Mookie Betts,https://www.tcdb.com/Person.cfm/pid/49319/col/Y/yea/2022/Mookie-Betts?sTeam=&sCardNum=&sNote=&sSetName=Topps&sBrand=,/ViewCard.cfm/sid/275887/cid/18009118/2022-Topps-50-Mookie-Betts,0
