name,year,number,price,own,last_name
Joe Morgan,1973,230,6.51,0,Morgan
Carl Yastrzemski,1973,245,4.95,1,Yastrzemski
Reggie Jackson,1973,255,7.45,1,Jackson
Al Kaline,1973,280,3,1,Kaline
Steve Carlton,1973,300,3,1,Carlton
Willie Mays,1973,305,39,1,Mays
Lou Brock,1973,320,3.34,1,Brock
Rod Carew,1973,330,2,1,Carew
Tom Seaver,1973,350,11.99,1,Seaver
Willie Stargell,1973,370,1,1,Stargell
Johnny Bench,1973,380,5,1,Bench
Willie McCovey,1973,410,6,1,McCovey
Mike Schmidt,1973,615,74,1,Schmidt
Hank Aaron,1974,1,7.1,1,Aaron
Johnny Bench,1974,10,7,1,Bench
Nolan Ryan,1974,20,15.85,1,Ryan
Jim Palmer,1974,40,3,1,Palmer
Rod Carew,1974,50,5,1,Carew
Frank Robinson,1974,55,4.77,1,Robinson
Lou Brock,1974,60,2.25,1,Brock
Tom Seaver,1974,80,4,1,Seaver
Joe Morgan,1974,85,3,1,Morgan
Steve Carlton,1974,95,3,1,Carlton
Willie Stargell,1974,100,3,1,Stargell
Reggie Jackson,1974,130,8.75,0,Jackson
Brooks Robinson,1974,160,3,0,Robinson
Al Kaline,1974,215,3.5,0,Kaline
Willie McCovey,1974,250,2,1,McCovey
Carl Yastrzemski,1974,280,6.77,1,Yastrzemski
Mike Schmidt,1974,283,13,1,Schmidt
Bob Gibson,1974,350,4,1,Gibson
Dave Winfield,1974,456,21.5,1,Winfield
Brooks Robinson,1975,50,4,0,Robinson
Dave Winfield,1975,61,3.99,1,Winfield
Mike Schmidt,1975,70,16,1,Schmidt
Willie Stargell,1975,100,3.5,1,Stargell
Bob Gibson,1975,150,2.5,1,Gibson
Joe Morgan,1975,180,3,1,Morgan
Steve Carlton,1975,185,4.75,1,Carlton
Robin Yount,1975,223,32.25,1,Yount
George Brett,1975,228,31,0,Brett
Johnny Bench,1975,260,8,0,Bench
Carl Yastrzemski,1975,280,8,1,Yastrzemski
Reggie Jackson,1975,300,6.25,1,Jackson
Jim Palmer,1975,335,2.63,1,Palmer
Tom Seaver,1975,370,7,1,Seaver
Willie McCovey,1975,450,2.25,1,McCovey
Nolan Ryan,1975,500,29,1,Ryan
Lou Brock,1975,540,9.01,0,Brock
Frank Robinson,1975,580,2.5,1,Robinson
Rod Carew,1975,600,7.5,1,Carew
Hank Aaron,1975,660,12,0,Aaron
Lou Brock,1976,10,2.25,0,Brock
George Brett,1976,19,15,1,Brett
Brooks Robinson,1976,95,2.75,1,Robinson
Dennis Eckersley,1976,98,11.79,0,Eckersley
Dave Winfield,1976,160,4,1,Winfield
Carl Yastrzemski,1976,230,5,1,Yastrzemski
Willie Stargell,1976,270,2,0,Stargell
Johnny Bench,1976,300,6,1,Bench
Robin Yount,1976,316,5,1,Yount
Nolan Ryan,1976,330,15,1,Ryan
Steve Carlton,1976,355,3,1,Carlton
Rod Carew,1976,400,1.8,1,Carew
Joe Morgan,1976,420,5,1,Morgan
Jim Palmer,1976,450,3,1,Palmer
Mike Schmidt,1976,480,15,1,Schmidt
Reggie Jackson,1976,500,5,1,Jackson
Willie McCovey,1976,520,4.25,1,McCovey
Hank Aaron,1976,550,14,1,Aaron
Tom Seaver,1976,600,4,0,Seaver
Reggie Jackson,1977,10,6,0,Jackson
Johnny Bench,1977,70,4,0,Bench
Joe Morgan,1977,100,3,1,Morgan
Steve Carlton,1977,110,3,1,Carlton
Rod Carew,1977,120,1.5,1,Carew
Mike Schmidt,1977,140,6,0,Schmidt
Tom Seaver,1977,150,4,0,Seaver
Brooks Robinson,1977,285,3,1,Robinson
Lou Brock,1977,355,2,0,Brock
Dave Winfield,1977,390,2,1,Winfield
Willie Stargell,1977,460,2.5,0,Stargell
Carl Yastrzemski,1977,480,6.5,1,Yastrzemski
Dennis Eckersley,1977,525,3.25,1,Eckersley
Willie McCovey,1977,547,3.88,0,McCovey
George Brett,1977,580,12,1,Brett
Jim Palmer,1977,600,1.25,0,Palmer
Robin Yount,1977,635,5.25,1,Yount
Nolan Ryan,1977,650,17,1,Ryan
Willie McCovey,1978,34,3,1,McCovey
Eddie Murray,1978,36,49.99,0,Murray
Carl Yastrzemski,1978,40,6,0,Yastrzemski
George Brett,1978,100,11.5,1,Brett
Dennis Eckersley,1978,122,3,1,Eckersley
Jim Palmer,1978,160,3,1,Palmer
Lou Brock,1978,170,1.25,0,Brock
Robin Yount,1978,173,2.25,1,Yount
Reggie Jackson,1978,200,3.25,1,Jackson
Joe Morgan,1978,300,3,1,Morgan
Mike Schmidt,1978,360,4,1,Schmidt
Nolan Ryan,1978,400,10.99,1,Ryan
Tom Seaver,1978,450,2.5,1,Seaver
Willie Stargell,1978,510,1.25,1,Stargell
Dave Winfield,1978,530,2.5,1,Winfield
Steve Carlton,1978,540,3,1,Carlton
Rod Carew,1978,580,2,1,Carew
Johnny Bench,1978,700,3.63,0,Bench
Paul Molitor,1978,707,31,1,Molitor
Joe Morgan,1979,20,2.25,1,Morgan
Paul Molitor,1979,24,6,1,Molitor
Steve Carlton,1979,25,1,1,Carlton
Dave Winfield,1979,30,1.98,1,Winfield
Dennis Eckersley,1979,40,1.35,0,Eckersley
Willie Stargell,1979,55,1.7,1,Stargell
Robin Yount,1979,95,2,1,Yount
Tom Seaver,1979,100,2.3,1,Seaver
Nolan Ryan,1979,115,10.25,1,Ryan
Ozzie Smith,1979,116,30,0,Smith
Johnny Bench,1979,200,1.5,1,Bench
Willie McCovey,1979,215,1.1,1,McCovey
Rod Carew,1979,300,1.63,1,Carew
Carl Yastrzemski,1979,320,3,1,Yastrzemski
George Brett,1979,330,5,1,Brett
Jim Palmer,1979,340,0.75,1,Palmer
Mike Schmidt,1979,610,8,1,Schmidt
Eddie Murray,1979,640,8,1,Murray
Lou Brock,1979,665,0.75,1,Brock
Reggie Jackson,1979,700,2.5,1,Jackson
Johnny Bench,1980,100,3,1,Bench
Eddie Murray,1980,160,2.8,1,Murray
Steve Carlton,1980,210,1,0,Carlton
Dave Winfield,1980,230,1.25,1,Winfield
Robin Yount,1980,265,1.25,1,Yount
Mike Schmidt,1980,270,8,1,Schmidt
Dennis Eckersley,1980,320,1.5,0,Eckersley
Willie McCovey,1980,335,0.95,1,McCovey
Ozzie Smith,1980,393,3.5,1,Smith
Paul Molitor,1980,406,2.45,1,Molitor
George Brett,1980,450,4.99,1,Brett
Rickey Henderson,1980,482,28,1,Henderson
Tom Seaver,1980,500,3,1,Seaver
Nolan Ryan,1980,580,4.5,1,Ryan
Jim Palmer,1980,590,0.75,0,Palmer
Reggie Jackson,1980,600,2.25,1,Jackson
Willie Stargell,1980,610,0.5,1,Stargell
Joe Morgan,1980,650,1,1,Morgan
Rod Carew,1980,700,1,0,Carew
Carl Yastrzemski,1980,720,2.6,1,Yastrzemski
Rod Carew,1981,100,0.75,1,Carew
Carl Yastrzemski,1981,110,1.5,1,Yastrzemski
Jim Palmer,1981,210,0.6,1,Palmer
Tom Seaver,1981,220,1.37,1,Seaver
Nolan Ryan,1981,240,6,1,Ryan
Ozzie Smith,1981,254,3.59,1,Smith
Rickey Henderson,1981,261,6.13,1,Henderson
Paul Molitor,1981,300,1.36,1,Molitor
Dave Winfield,1981,370,2,1,Winfield
Willie Stargell,1981,380,0.3,0,Stargell
Reggie Jackson,1981,400,1.33,1,Jackson
Eddie Murray,1981,490,2.5,1,Murray
Robin Yount,1981,515,1.75,1,Yount
Mike Schmidt,1981,540,3.5,1,Schmidt
Joe Morgan,1981,560,1.87,1,Morgan
Johnny Bench,1981,600,1.5,0,Bench
Dennis Eckersley,1981,620,0.75,1,Eckersley
Steve Carlton,1981,630,0.74,0,Carlton
George Brett,1981,700,3,1,Brett
Cal Ripken Jr,1982,21,15,1,Ripken
Tom Seaver,1982,30,0.99,0,Seaver
Jim Palmer,1982,80,0.3,1,Palmer
Nolan Ryan,1982,90,6,0,Ryan
Ozzie Smith,1982,95,2.5,1,Smith
Mike Schmidt,1982,100,3,1,Schmidt
