name,year,number,condition,date,bids,price
Ernie Banks,1956,15,LOW GRADE (crease) (white back),2020-11-20,10,27.02
Ernie Banks,1956,15,VG-VGEX,2020-11-19,17,72.5
Ernie Banks,1956,15,LOW GRADE (crease) (white back),2020-11-13,19,19.75
Ernie Banks,1956,15,LOW GRADE (crease),2020-11-06,16,16
Ernie Banks,1956,15,VG-VGEX (white back),2020-11-01,20,81
Al Kaline,1956,20,NR-MINT (white back),2021-01-04,29,338.55
Al Kaline,1956,20,VG-VGEX (crease),2021-01-02,19,37
Al Kaline,1956,20,VG-VGEX (wrinkle) (white back),2020-12-25,15,51.01
Al Kaline,1956,20,VG-VGEX (white back),2020-12-23,15,104.5
Al Kaline,1956,20,EX-EXMINT (white back),2020-12-20,24,147
Al Kaline,1956,20,LOW GRADE (filler) (white back),2020-12-18,6,18.5
Al Kaline,1956,20,VG-VGEX (white back),2020-12-16,17,33
Al Kaline,1956,20,VG-VGEX,2020-12-13,17,32.33
Al Kaline,1956,20,VG-VGEX (crease),2020-12-11,20,46
Al Kaline,1956,20,VG-VGEX,2020-12-08,21,64
Al Kaline,1956,20,VG-VGEX,2020-11-29,19,86
Al Kaline,1956,20,VG-VGEX (crease) (white back) (marked),2020-11-27,12,23.5
Al Kaline,1956,20,LOW GRADE (crease),2020-11-27,7,13.83
Al Kaline,1956,20,EX-EXMINT (white back) (marked),2020-11-20,17,52
Al Kaline,1956,20,EX-EXMINT,2020-11-19,14,123.5
Al Kaline,1956,20,VG-VGEX (white back),2020-10-25,13,57
Al Kaline,1956,20,VG-VGEX,2020-10-18,19,66
Al Kaline,1956,20,VG-VGEX (white back),2020-10-07,9,28.88
Jackie Robinson,1956,30,VG-VGEX (white back),2020-12-16,25,258
Jackie Robinson,1956,30,VG-VGEX (crease),2020-12-04,29,275
Jackie Robinson,1956,30,VG-VGEX (crease),2020-12-04,33,241.5
Jackie Robinson,1956,30,VG-VGEX (white back),2020-11-29,37,228.83
Jackie Robinson,1956,30,EX-EXMINT (white back),2020-11-22,27,458
Jackie Robinson,1956,30,EX-EXMINT,2020-11-19,52,407.79
Jackie Robinson,1956,30,EX-EXMINT (white back),2020-10-29,38,355.12
Hank Aaron,1956,31,LOW GRADE (filler),2021-01-02,13,84
Hank Aaron,1956,31,LOW GRADE (crease) (white back),2021-01-02,8,68
Hank Aaron,1956,31,LOW GRADE (crease),2020-12-25,32,135.94
Hank Aaron,1956,31,VG-VGEX,2020-12-20,60,263.86
Hank Aaron,1956,31,LOW GRADE (filler),2020-12-18,13,66
Hank Aaron,1956,31,EX-EXMINT (white back),2020-12-16,22,370
Hank Aaron,1956,31,VG-VGEX,2020-12-13,16,93.1
Hank Aaron,1956,31,VG-VGEX,2020-12-08,23,185.36
Hank Aaron,1956,31,LOW GRADE (white back),2020-12-04,29,76
Hank Aaron,1956,31,LOW GRADE (crease),2020-11-27,18,55
Hank Aaron,1956,31,EX-EXMINT (white back),2020-11-22,28,218.05
Hank Aaron,1956,31,VG-VGEX (crease),2020-11-20,28,157.5
Hank Aaron,1956,31,LOW GRADE (white back),2020-11-06,20,48.77
Hank Aaron,1956,31,LOW GRADE,2020-11-06,35,123
Roberto Clemente,1956,33,VG-VGEX,2020-12-20,21,316.52
Roberto Clemente,1956,33,LOW GRADE (filler),2020-12-18,23,100.99
Roberto Clemente,1956,33,LOW GRADE (filler),2020-12-18,20,107.5
Roberto Clemente,1956,33,EX-EXMINT (white back),2020-12-16,22,746
Roberto Clemente,1956,33,VG-VGEX (white back),2020-12-13,30,134.63
Roberto Clemente,1956,33,VG-VGEX,2020-12-08,36,363
Roberto Clemente,1956,33,VG-VGEX (white back),2020-11-29,21,300.35
Roberto Clemente,1956,33,VG-VGEX (white back),2020-11-22,29,293
Roberto Clemente,1956,33,VG-VGEX (white back),2020-11-19,15,210.5
Roberto Clemente,1956,33,LOW GRADE (crease) (white back),2020-11-13,27,147.5
Roberto Clemente,1956,33,LOW GRADE (crease),2020-11-06,30,159.06
Roberto Clemente,1956,33,EX-EXMINT,2020-11-01,36,420
Sandy Koufax,1956,79,NM-MT OR BETTER (white back),2021-01-04,40,
Sandy Koufax,1956,79,LOW GRADE (filler) (white back),2021-01-02,20,78
Sandy Koufax,1956,79,LOW GRADE (filler),2020-12-18,17,98.55
Sandy Koufax,1956,79,LOW GRADE (crease),2020-12-18,22,101.56
Sandy Koufax,1956,79,NR-MINT (white back),2020-12-16,26,521
Sandy Koufax,1956,79,LOW GRADE (crease),2020-12-11,22,103.5
Sandy Koufax,1956,79,VG-VGEX,2020-12-08,33,202.5
Sandy Koufax,1956,79,VG-VGEX (white back),2020-11-29,33,154.5
Sandy Koufax,1956,79,VG-VGEX,2020-11-19,27,193.5
Sandy Koufax,1956,79,VG-VGEX (white back),2020-10-18,20,103.5
Bob Feller,1956,200,VG-VGEX,2021-01-04,26,56
Bob Feller,1956,200,VG-VGEX (wrinkle),2020-12-25,19,51
Bob Feller,1956,200,LOW GRADE (crease),2020-12-25,12,62.75
Bob Feller,1956,200,EX-EXMINT,2020-12-20,16,108.86
Bob Feller,1956,200,LOW GRADE (crease),2020-12-18,16,32.75
Bob Feller,1956,200,LOW GRADE,2020-12-18,14,21.49
Bob Feller,1956,200,NM-MT OR BETTER,2020-12-16,25,301
Bob Feller,1956,200,VG-VGEX (crease),2020-12-11,12,39.01
Bob Feller,1956,200,LOW GRADE (crease),2020-11-27,6,17.5
Bob Feller,1956,200,EX-EXMINT,2020-11-19,13,81
Bob Feller,1956,200,VG-VGEX,2020-11-15,15,62
