title,date,bids,price
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-23,5,4.26
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-23,10,8.55
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-01-20,6,5.5
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-01-17,8,13.5
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-16,4,3.02
1972 Topps Set Break # 37 Carl Yastrzemski VG-VGEX *GMCARDS*,2020-01-16,4,2.78
1972 Topps Set Break # 37 Carl Yastrzemski EX-EXMINT *GMCARDS*,2020-01-15,10,10.76
1985 Topps Tiffany Set Break #500 Mike Schmidt NM-MT OR BETTER *GMCARDS*,2020-04-05,13,17.5
1966 Topps Set Break # 28 Phil Niekro EX-EXMINT *GMCARDS*,2020-04-11,10,9.5
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-03-30,6,4.38
1966 Topps Set Break # 28 Phil Niekro LOW GRADE (filler) *GMCARDS*,2020-03-19,2,1.26
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-03-17,8,3.8
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-03-13,5,5.5
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-03-09,9,6.5
1966 Topps Set Break # 28 Phil Niekro VG-VGEX (crease) *GMCARDS*,2020-03-05,5,3.69
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-03-04,6,5.51
1966 Topps Set Break # 28 Phil Niekro EX-EXMINT *GMCARDS*,2020-03-01,7,11.5
1966 Topps Set Break # 28 Phil Niekro EX-EXMINT *GMCARDS*,2020-02-25,8,7.5
1966 Topps Set Break # 28 Phil Niekro EX-EXMINT *GMCARDS*,2020-02-19,3,7.16
1966 Topps Set Break # 28 Phil Niekro EX-EXMINT *GMCARDS*,2020-02-16,5,8
1966 Topps Set Break # 28 Phil Niekro LOW GRADE (crease) *GMCARDS*,2020-02-13,4,2.81
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-02-12,5,3.28
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-02-09,7,4.8
1966 Topps Set Break # 28 Phil Niekro VG-VGEX (wrinkle) *GMCARDS*,2020-02-06,5,3.75
1966 Topps Set Break # 28 Phil Niekro NR-MINT *GMCARDS*,2020-02-03,16,80
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-01-28,7,5.15
1966 Topps Set Break # 28 Phil Niekro VG-VGEX (wrinkle) *GMCARDS*,2020-01-23,4,5.22
1966 Topps Set Break # 28 Phil Niekro EX-EXMINT *GMCARDS*,2020-01-22,5,8.39
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-01-19,7,4.25
1966 Topps Set Break # 28 Phil Niekro VG-VGEX (wrinkle) *GMCARDS*,2020-01-16,3,3.52
1966 Topps Set Break # 28 Phil Niekro VG-VGEX (crease) *GMCARDS*,2020-01-16,2,3.52
1966 Topps Set Break # 28 Phil Niekro VG-VGEX *GMCARDS*,2020-01-14,6,5.02
1969 Topps Set Break #565 Hoyt Wilhelm VG-VGEX *GMCARDS*,2020-04-11,4,3.82
1969 Topps Set Break #565 Hoyt Wilhelm VG-VGEX *GMCARDS*,2020-04-10,4,3.26
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-04-08,5,3.36
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-04-04,5,6.21
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-30,7,5
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-25,3,3.47
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-20,2,3.82
1969 Topps Set Break #565 Hoyt Wilhelm NR-MINT *GMCARDS*,2020-03-17,10,5.06
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-13,5,2.25
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-09,4,3.81
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-04,3,3.47
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-03-01,6,6.08
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-02-25,4,6.5
1969 Topps Set Break #565 Hoyt Wilhelm NM-MT OR BETTER *GMCARDS*,2020-02-23,6,7.63
1969 Topps Set Break #565 Hoyt Wilhelm NR-MINT *GMCARDS*,2020-02-17,8,8.5
1969 Topps Set Break #565 Hoyt Wilhelm NM-MT OR BETTER *GMCARDS*,2020-02-09,5,16
1969 Topps Set Break #565 Hoyt Wilhelm EX-EXMINT *GMCARDS*,2020-02-03,8,3.25
1969 Topps Set Break #565 Hoyt Wilhelm LOW GRADE *GMCARDS*,2020-01-30,6,1.53
1969 Topps Set Break #565 Hoyt Wilhelm NM-MT OR BETTER *GMCARDS*,2020-01-29,5,7.71
1969 Topps Set Break #565 Hoyt Wilhelm NM-MT OR BETTER *GMCARDS*,2020-01-24,10,7.5
1969 Topps Set Break #565 Hoyt Wilhelm NR-MINT *GMCARDS*,2020-01-20,10,7.5
1969 Topps Set Break #565 Hoyt Wilhelm VG-VGEX *GMCARDS*,2020-01-15,6,3.75
1978 Topps Set Break #325 Bruce Sutter VG-VGEX (wrinkle) *GMCARDS*,2020-04-09,,0.79
1978 Topps Set Break #325 Bruce Sutter VG-VGEX (crease) *GMCARDS*,2020-04-09,,0.79
1978 Topps Set Break #325 Bruce Sutter VG-VGEX *GMCARDS*,2020-04-03,4,2.25
1978 Topps Set Break #325 Bruce Sutter VG-VGEX *GMCARDS*,2020-04-02,,0.79
1978 Topps Set Break #325 Bruce Sutter VG-VGEX *GMCARDS*,2020-04-02,2,0.84
1978 Topps Set Break #325 Bruce Sutter VG-VGEX *GMCARDS*,2020-04-02,2,0.84
1978 Topps Set Break #325 Bruce Sutter EX-EXMINT *GMCARDS*,2020-04-01,,0.79
1978 Topps Set Break #325 Bruce Sutter NM-MT OR BETTER *GMCARDS*,2020-03-28,6,2.34
1978 Topps Set Break #325 Bruce Sutter VG-VGEX *GMCARDS*,2020-03-26,2,2.01
1978 Topps Set Break #325 Bruce Sutter EX-EXMINT *GMCARDS*,2020-03-24,2,1.35
1978 Topps Set Break #325 Bruce Sutter NR-MINT *GMCARDS*,2020-03-23,3,2.85
1978 Topps Set Break #325 Bruce Sutter NM-MT OR BETTER *GMCARDS*,2020-03-18,6,3.14
1978 Topps Set Break #325 Bruce Sutter EX-EXMINT *GMCARDS*,2020-03-09,,0.79
1978 Topps Set Break #325 Bruce Sutter EX-EXMINT *GMCARDS*,2020-03-03,6,3.41
1978 Topps Set Break #325 Bruce Sutter NR-MINT *GMCARDS*,2020-02-25,5,3.25
