title,date,bids,price
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-09-30,16,46
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-09-28,17,53
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-09-24,20,40.68
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT (white back) *GMCARDS*,2020-09-22,43,155.5
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT *GMCARDS*,2020-09-20,21,102.5
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT (white back) *GMCARDS*,2020-09-16,17,68
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT (white back) *GMCARDS*,2020-09-13,19,111.5
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (white back) *GMCARDS*,2020-09-11,10,35.77
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (crease) (white back) *GMCARDS*,2020-09-11,24,32
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT (white back) *GMCARDS*,2020-09-05,27,114.5
1956 Topps Set Break # 20 - Al Kaline EX-EXMINT *GMCARDS*,2020-09-02,26,105.03
1956 Topps # 20 - Al Kaline LOW GRADE (crease) (pin hole) (white back) *GMCARDS*,2020-08-28,11,9.03
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (white back) *GMCARDS*,2020-08-16,20,77
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (wrinkle) *GMCARDS*,2020-08-14,15,53.55
1956 Topps Set Break # 20 - Al Kaline VG-VGEX (crease) *GMCARDS*,2020-08-14,9,26.1
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (white back) *GMCARDS*,2020-08-14,17,20.6
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (white back) *GMCARDS*,2020-07-31,16,18.5
1956 Topps Set Break # 20 - Al Kaline LOW GRADE (crease) (white back) *GMCARDS*,2020-07-31,9,11.22
1956 Topps Set Break # 30 - Jackie Robinson VG-VGEX (white back) *GMCARDS*,2020-10-04,32,355
1956 Topps Set Break # 30 - Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-09-25,29,208.52
1956 Topps # 30 - Jackie Robinson VG-VGEX (crease) (white back) *GMCARDS*,2020-09-25,27,154.47
1956 Topps # 30 - Jackie Robinson LOW GRADE (crease) (white back) *GMCARDS*,2020-09-18,48,145.5
1956 Topps Set Break # 30 - Jackie Robinson VG-VGEX *GMCARDS*,2020-09-16,33,347
1956 Topps Set Break # 30 - Jackie Robinson EX-EXMINT (white back) *GMCARDS*,2020-09-13,37,416
1956 Topps Set Break # 30 - Jackie Robinson LOW GRADE (crease) *GMCARDS*,2020-09-11,17,189.46
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX (white back) *GMCARDS*,2020-10-06,21,190.38
1956 Topps Set Break # 31 - Hank Aaron VG-VGEX *GMCARDS*,2020-10-04,22,163.56
