year,team,remove,url
1959,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1959,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/43/1959-Topps
1960,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1960,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/47/1960-Topps
1961,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Boston Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Los Angeles Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,New York Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Philadelphia Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1962,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Boston Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Brooklyn Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Houston Colt .45s,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Los Angeles Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,New York Mets,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1963,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Houston Colt .45s,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Los Angeles Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,New York Mets,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,St. Louis Cardinals,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,Washington Senators,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1964,Baltimore Orioles,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Boston Red Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Chicago Cubs,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Chicago White Sox,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Cincinnati Reds,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Cleveland Indians,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Detroit Tigers,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Houston Colt .45s,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Kansas City Athletics,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Los Angeles Angels,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Los Angeles Dodgers,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Milwaukee Braves,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Minnesota Twins,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,New York Mets,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,New York Yankees,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Philadelphia Phillies,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,Pittsburgh Pirates,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,San Francisco Giants,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
