year,league,team,wins,losses,number,name,set_url
1961,NL,St. Louis Cardinals,80,74,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Cleveland Indians,78,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Boston Red Sox,76,86,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,Pittsburgh Pirates,75,79,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Los Angeles Angels,70,91,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Minnesota Twins,70,90,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,Chicago Cubs,64,90,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Kansas City Athletics,61,100,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,AL,Washington Senators,61,100,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1961,NL,Philadelphia Phillies,47,107,,,https://www.tcdb.com/ViewTeams.cfm/sid/51/1961-Topps
1962,NL,San Francisco Giants,103,62,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Los Angeles Dodgers,102,63,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Cincinnati Reds,98,64,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,New York Yankees,96,66,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Pittsburgh Pirates,93,68,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Minnesota Twins,91,71,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Los Angeles Angels,86,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Milwaukee Braves,86,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Chicago White Sox,85,77,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Detroit Tigers,85,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,St. Louis Cardinals,84,78,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Philadelphia Phillies,81,80,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Cleveland Indians,80,82,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Baltimore Orioles,77,85,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Boston Red Sox,76,84,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Kansas City Athletics,72,90,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Houston Colt .45s,64,96,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,AL,Washington Senators,60,101,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,Chicago Cubs,59,103,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1962,NL,New York Mets,40,120,,,https://www.tcdb.com/ViewTeams.cfm/sid/55/1962-Topps
1963,AL,New York Yankees,104,57,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Los Angeles Dodgers,99,63,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Chicago White Sox,94,68,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,St. Louis Cardinals,93,69,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Minnesota Twins,91,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,San Francisco Giants,88,74,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Philadelphia Phillies,87,75,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Baltimore Orioles,86,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Cincinnati Reds,86,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Milwaukee Braves,84,78,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Chicago Cubs,82,80,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Cleveland Indians,79,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Detroit Tigers,79,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Boston Red Sox,76,85,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Pittsburgh Pirates,74,88,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Kansas City Athletics,73,89,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Los Angeles Angels,70,91,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,Houston Colt .45s,66,96,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,AL,Washington Senators,56,106,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1963,NL,New York Mets,51,111,,,https://www.tcdb.com/ViewTeams.cfm/sid/60/1963-Topps
1964,AL,New York Yankees,99,63,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Chicago White Sox,98,64,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Baltimore Orioles,97,65,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,St. Louis Cardinals,93,69,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Cincinnati Reds,92,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Philadelphia Phillies,92,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,San Francisco Giants,90,72,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Milwaukee Braves,88,74,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Detroit Tigers,85,77,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Los Angeles Angels,82,80,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Los Angeles Dodgers,80,82,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Pittsburgh Pirates,80,82,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Cleveland Indians,79,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Minnesota Twins,79,83,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Chicago Cubs,76,86,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Boston Red Sox,72,90,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,Houston Colt .45s,66,96,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Washington Senators,62,100,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,AL,Kansas City Athletics,57,105,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1964,NL,New York Mets,53,109,,,https://www.tcdb.com/ViewTeams.cfm/sid/61/1964-Topps
1965,AL,Minnesota Twins,102,60,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Los Angeles Dodgers,97,65,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Chicago White Sox,95,67,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,San Francisco Giants,95,67,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Baltimore Orioles,94,68,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Pittsburgh Pirates,90,72,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Cincinnati Reds,89,73,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Detroit Tigers,89,73,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Cleveland Indians,87,75,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Milwaukee Braves,86,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Philadelphia Phillies,85,76,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,St. Louis Cardinals,80,81,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,New York Yankees,77,85,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,California Angels,75,87,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Chicago Cubs,72,90,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Washington Senators,70,92,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,Houston Astros,65,97,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Boston Red Sox,62,100,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,AL,Kansas City Athletics,59,103,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1965,NL,New York Mets,50,112,,,https://www.tcdb.com/ViewTeams.cfm/sid/64/1965-Topps
1966,AL,Baltimore Orioles,97,63,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,NL,Los Angeles Dodgers,95,67,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,NL,San Francisco Giants,93,68,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,NL,Pittsburgh Pirates,92,70,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,AL,Minnesota Twins,89,73,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,AL,Detroit Tigers,88,74,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
1966,NL,Philadelphia Phillies,87,75,,,https://www.tcdb.com/ViewTeams.cfm/sid/65/1966-Topps
