title,date,bids,price
1955 Topps Set Break # 31 Warren Spahn VG-VGEX *GMCARDS*,2020-11-01,11,22.5
1955 Topps Set Break # 31 Warren Spahn LOW GRADE (crease) *GMCARDS*,2020-10-30,9,16.5
1955 Topps Set Break # 31 Warren Spahn VG-VGEX (wrinkle) *GMCARDS*,2020-10-16,9,18.68
1955 Topps Set Break # 47 Hank Aaron VG-VGEX (crease) *GMCARDS*,2020-01-02,31,455
1955 Topps Set Break #47 Hank Aaron LOW GRADE (filler) *GMCARDS*,2020-12-25,36,190.15
1955 Topps Set Break # 47 Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-12-25,29,78.77
1955 Topps Set Break #47 Hank Aaron LOW GRADE (crease) *GMCARDS*,2020-12-18,22,116.66
1955 Topps Set Break # 47 Hank Aaron LOW GRADE (filler) *GMCARDS*,2020-12-18,26,82.5
1955 Topps Set Break # 47 Hank Aaron EX-EXMINT *GMCARDS*,2020-11-29,21,381.62
1955 Topps Set Break # 47 Hank Aaron LOW GRADE (filler) *GMCARDS*,2020-11-20,10,48
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-01-02,44,367.5
1955 Topps Set Break #50 Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-12-18,43,366
1955 Topps Set Break # 50 Jackie Robinson LOW GRADE (paper loss) *GMCARDS*,2020-12-18,23,120
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX (wrinkle) *GMCARDS*,2020-12-04,39,324
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX (wrinkle) *GMCARDS*,2020-11-27,41,366.12
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX (crease) *GMCARDS*,2020-11-27,29,285
1955 Topps Set Break # 50 Jackie Robinson VG-VGEX *GMCARDS*,2020-11-01,32,330
1955 Topps Set Break # 50 Jackie Robinson LOW GRADE *GMCARDS*,2020-10-30,21,105.77
1955 Topps Set Break #123 Sandy Koufax EX-EXMINT *GMCARDS*,2020-01-04,37,
