year,number,name,team,card_url
2020,547,Victor Robles,Washington Nationals,/ViewCard.cfm/sid/209948/cid/14727638/2020-Topps-547-Victor-Robles
2020,550,John Means,Baltimore Orioles,/ViewCard.cfm/sid/209948/cid/14727642/2020-Topps-550-John-Means
2020,571,Keston Hiura,Milwaukee Brewers,/ViewCard.cfm/sid/209948/cid/14727672/2020-Topps-571-Keston-Hiura
2020,617,Bryan Reynolds,Pittsburgh Pirates,/ViewCard.cfm/sid/209948/cid/14727727/2020-Topps-617-Bryan-Reynolds
2021,42,Kyle Lewis,Seattle Mariners,/ViewCard.cfm/sid/241380/cid/15983743/2021-Topps-42-Kyle-Lewis
2021,143,Ryan Mountcastle,Baltimore Orioles,/ViewCard.cfm/sid/241380/cid/15983844/2021-Topps-143-Ryan-Mountcastle
2021,223,Luis Robert,Chicago White Sox,/ViewCard.cfm/sid/241380/cid/15983924/2021-Topps-223-Luis-Robert
2021,230,Tony Gonsolin,Los Angeles Dodgers,/ViewCard.cfm/sid/241380/cid/15983931/2021-Topps-230-Tony-Gonsolin
2021,277,Alec Bohm,Philadelphia Phillies,/ViewCard.cfm/sid/241380/cid/15983978/2021-Topps-277-Alec-Bohm
2021,339,Willi Castro,Detroit Tigers,/ViewCard.cfm/sid/241380/cid/16635235/2021-Topps-339-Willi-Castro
2021,349,Sean Murphy,Oakland Athletics,/ViewCard.cfm/sid/241380/cid/16635249/2021-Topps-349-Sean-Murphy
2021,371,Jake Cronenworth,San Diego Padres,/ViewCard.cfm/sid/241380/cid/16635276/2021-Topps-371-Jake-Cronenworth
2021,482,Kwang-Hyun Kim,St. Louis Cardinals,/ViewCard.cfm/sid/241380/cid/16635418/2021-Topps-482-Kwang-Hyun-Kim
2021,485,Devin Williams,Milwaukee Brewers,/ViewCard.cfm/sid/241380/cid/16635421/2021-Topps-485-Devin-Williams
2021,575,Jared Walsh,Los Angeles Angels,/ViewCard.cfm/sid/241380/cid/16635541/2021-Topps-575-Jared-Walsh
