name,type,first_card,price,own,lot_name
Roy Halladay,first_ballot,1998,0.3,1,instant_collections
Alex Rodriguez,vet_or_other,1998,1.25,0,
Carlos Beltran,vet_or_other,2000,0.35,0,
Tim Hudson,vet_or_other,2000,0.2,1,ebay_pick_2000-2003
Ichiro Suzuki,first_ballot,2001,23.5,1,ichiro_rookie
Albert Pujols,first_ballot,2002,14,1,2002_series1_box
Joe Mauer,first_ballot,2002,6,0,
Mark Buehrle,vet_or_other,2002,0.1,1,ebay_pick_2000-2003
Chase Utley,vet_or_other,2003,2.99,0,
Mark Teixeira,vet_or_other,2003,1,0,
Miguel Cabrera,first_ballot,2004,0.4,1,lstowell_04_06_13_20
Zack Greinke,vet_or_other,2004,0.45,0,
Justin Verlander,first_ballot,2005,20,0,
David Wright,vet_or_other,2005,1,1,alyssa_stars_v2
Felix Hernandez,vet_or_other,2005,0.7,1,alyssa_stars_v2
Robinson Cano,vet_or_other,2006,0.99,1,lstowell_04_06_13_20
Joey Votto,vet_or_other,2008,5.3,0,
Clayton Kershaw,first_ballot,2009,1.25,1,alyssa_stars_v2
Max Scherzer,first_ballot,2009,0.5,1,cape_auctions_08-12
Buster Posey,vet_or_other,2010,6.84,0,
Stephen Strasburg,vet_or_other,2010,2,0,
Mike Trout,first_ballot,2012,11.53,1,mike_trout_rookie
Bryce Harper,vet_or_other,2012,40,1,bryce_harper_rookie
Manny Machado,vet_or_other,2013,4,1,manny_machado_rookie
Christian Yelich,vet_or_other,2014,5.5,1,hawkes_20
Mookie Betts,first_ballot,2015,0.6,1,stlbrowns_2012-2019
Kris Bryant,vet_or_other,2015,7.99,1,stlbrowns_2012-2019
Cody Bellinger,vet_or_other,2018,1.85,1,dimebox_lots
Juan Soto,vet_or_other,2019,2.19,1,hawkes_20
